Company Name,Location,Datum,Detail,Status Rocket, Rocket,Status Mission
CASC,"Wenchang, China",Dec 23 2025 12:00 UTC,LM-12A Demo Flight,Long March 12A,StatusActive,55.0,Success
Rocket Lab,"Mahia, New Zealand",Dec 23 2025 08:30 UTC,Operação Spaceward,Electron,StatusActive,7.5,Success
JAXA,"Tanegashima, Japan",Dec 21 2025 05:00 UTC,Michibiki 5 (QZS-5),H3-22S,StatusActive,90.0,Failure
Rocket Lab,"Wallops, USA",Dec 21 2025 22:30 UTC,"The Wisdom God Guides",Electron,StatusActive,7.5,Success
Blue Origin,"Van Horn, USA",Dec 20 2025 14:00 UTC,NS-37 (Suborbital),New Shepard,StatusActive,1.5,Success
CASC,"Xichang, China",Dec 20 2025 02:45 UTC,TJSW-23,Long March 3B,StatusActive,50.0,Success
Rocket Lab,"Mahia, New Zealand",Dec 18 202508:30 UTC,"Don't Be Such A Square",Electron,StatusActive,7.5,Success
SpaceX,"Kennedy Space Center, USA",Dec 17 2025 23:12 UTC,Starlink Group 15-13,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Dec 17 2025 21:05 UTC,Starlink Group 6-99,Falcon 9 Block 5,StatusActive,52.0,Success
ESA,"Kourou, French Guiana",Dec 17 2025 19:15 UTC,Galileo-14 (33 & 34),Ariane 62,StatusActive,95.0,Success
Firefly,"Vandenberg, USA",Dec 16 2025 18:00 UTC,Leo-7 (LA-04),Firefly Alpha,StatusActive,15.0,Success
CASC,"Taiyuan, China",Dec 16 2025 03:30 UTC,Ziyuan-3 04,Long March 4B,StatusActive,32.0,Success
SpaceX,"Cape Canaveral, USA",Dec 15 2025 21:00 UTC,Starlink Group 6-82,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Dec 14 2025 14:20 UTC,Starlink Group 15-12,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Mahia, New Zealand",Dec 14 2025 08:30 UTC,"RAISE and Shine",Electron,StatusActive,7.5,Success
ExPace,"Jiuquan, China",Dec 13 2025 04:00 UTC,DEAR-5,Kuaizhou 1A,StatusActive,10.0,Success
CASC,"Taiyuan, China",Dec 11 2025 03:00 UTC,SatNet LEO Group 16,Long March 6A,StatusActive,40.0,Success
SpaceX,"Cape Canaveral, USA",Dec 11 2025 21:10 UTC,Starlink Group 6-90,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Dec 10 2025 23:45 UTC,Starlink Group 15-11,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Wallops, USA",Dec 10 2025 22:30 UTC,"Create the Future",Electron,StatusActive,7.5,Success
SpaceX,"Kennedy Space Center, USA",Dec 09 2025 15:30 UTC,NROL-77,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Jiuquan, China",Dec 09 2025 04:00 UTC,TJSW-22,Long March 4C,StatusActive,32.0,Success
CASC,"Xichang, China",Dec 09 2025 02:45 UTC,Yaogan-47,Long March 3B,StatusActive,50.0,Success
SpaceX,"Cape Canaveral, USA",Dec 08 2025 21:05 UTC,Starlink Group 6-92,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang, China",Dec 08 2025 06:15 UTC,SatNet LEO Group 15,Long March 8A,StatusActive,45.0,Success
SpaceX,"Vandenberg, USA",Dec 07 2025 11:30 UTC,Starlink Group 11-15,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Taiyuan, China",Dec 06 2025 03:00 UTC,SatNet LEO Group 14,Long March 6A,StatusActive,40.0,Success
Rocket Lab,"Mahia, New Zealand",Dec 05 2025 08:30 UTC,Traffic VDES A & B,Electron,StatusActive,7.5,Success
SpaceX,"Vandenberg, USA",Dec 04 2025 09:12 UTC,Starlink Group 11-25,Falcon 9 Block 5,StatusActive,52.0,Success
LandSpace,"Jiuquan, China",Dec 03 2025 04:00 UTC,ZQ-3 Demo Flight,Zhuque-3,StatusActive,30.0,Success
SpaceX,"Cape Canaveral, USA",Dec 02 2025 22:00 UTC,Starlink Group 6-95,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Dec 02 2025 04:30 UTC,Starlink Group 15-10,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Dec 01 2025 21:15 UTC,Starlink Group 6-86,Falcon 9 Block 5,StatusActive,52.0,Success
SIAS,"Goheung, S. Korea",Dec 01 2025 02:00 UTC,KOMPSAT-7,Nuri (KSLV-II),StatusActive,60.0,Success
SpaceX,"Kennedy Space Center, USA",Nov 30 2025 07:44 UTC,Starlink Group 12-32,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Nov 30 2025 04:30 UTC,Shijian 28,Long March 3B,StatusActive,50.0,Success
SpaceX,"Vandenberg, USA",Nov 28 2025 18:44 UTC,Transporter-15,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Baikonur, Kazakhstan",Nov 27 2025 10:45 UTC,Soyuz MS-28 (Crew),Soyuz 2.1a,StatusActive,100.0,Success
KARI,"Goheung, S. Korea",Nov 26 2025 07:00 UTC,CAS500-3,Nuri (KSLV-II),StatusActive,60.0,Success
VKS,"Plesetsk, Russia",Nov 25 2025 11:30 UTC,Kosmos 2597-2599,Angara 1.2,StatusActive,40.0,Success
CASC,"Jiuquan, China",Nov 25 2025 04:00 UTC,Shenzhou 22 (Crewed),Long March 2F/G,StatusActive,150.0,Success
SpaceX,"Vandenberg, USA",Nov 23 2025 08:48 UTC,Starlink Group 11-30,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Nov 22 2025 02:53 UTC,Starlink Group 6-79,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Nov 21 2025 06:15 UTC,TJSW-21,Long March 3B,StatusActive,50.0,Success
SpaceX,"Kennedy Space Center, USA",Nov 21 2025 03:39 UTC,Starlink Group 6-78,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Mahia, New Zealand",Nov 20 2025 08:30 UTC,"Follow My Speed",Electron,StatusActive,7.5,Success
CASC,"Jiuquan, China",Nov 19 2025 03:00 UTC,Shijian 30 A-C,Long March 2D,StatusActive,29.7,Success
SpaceX,"Cape Canaveral, USA",Nov 19 2025 00:12 UTC,Starlink Group 6-94,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Wallops, USA",Nov 18 2025 22:30 UTC,VAN (HASTE),Electron,StatusActive,7.5,Success
SpaceX,"Vandenberg, USA",Nov 17 2025 18:30 UTC,Sentinel-6B,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Kennedy Space Center, USA",Nov 15 2025 04:22 UTC,Starlink Group 6-85,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Nov 15 2025 01:45 UTC,Starlink Group 6-89,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Nov 14 2025 21:00 UTC,ViaSat 3 EMEA,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Cape Canaveral, USA",Nov 13 2025 15:00 UTC,ESCAPADE (Mars Probe x2),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Kennedy Space Center, USA",Nov 11 2025 04:30 UTC,Starlink Group 6-87,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",Nov 10 2025 06:15 UTC,Jilin-1 HR-04C,Long March 2D,StatusActive,29.7,Success
CASC,"Taiyuan, China",Nov 10 2025 03:00 UTC,SatNet LEO Group 13,Long March 6A,StatusActive,40.0,Success
SpaceX,"Cape Canaveral, USA",Nov 09 2025 21:05 UTC,Starlink Group 10-51,Falcon 9 Block 5,StatusActive,52.0,Success
ExPace,"Jiuquan, China",Nov 09 2025 04:00 UTC,Chutian-2 01 & 02,Kuaizhou 1A,StatusActive,10.0,Success
CASC,"Jiuquan, China",Nov 08 2025 03:30 UTC,Shiyan 32 01-03,Long March 2C,StatusActive,29.7,Success
SpaceX,"Vandenberg, USA",Nov 06 2025 08:45 UTC,Starlink Group 11-14,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Nov 06 2025 01:22 UTC,Starlink Group 6-81,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Mahia, New Zealand",Nov 05 2025 09:30 UTC,"The Nation God Navigates",Electron,StatusActive,7.5,Success
ESA,"Kourou, French Guiana",Nov 04 2025 19:00 UTC,Sentinel-1D Mission,Ariane 62,StatusActive,95.0,Success
CASC,"Jiuquan, China",Nov 03 2025 04:15 UTC,Yaogan-46,Long March 4C,StatusActive,32.0,Success
ISRO,"Sriharikota, India",Nov 02 2025 12:10 UTC,CMS-03 (GSAT-7R),LVM3,StatusActive,65.0,Success
SpaceX,"Vandenberg, USA",Nov 02 2025 08:30 UTC,Bandwagon-4 (Rideshare),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Vandenberg, USA",Oct 31 2025 11:45 UTC,Starlink Group 11-23,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",Oct 31 2025 08:12 UTC,Shenzhou 21 (Crewed),Long March 2F/G,StatusActive,150.0,Success
SpaceX,"Cape Canaveral, USA",Oct 29 2025 21:00 UTC,Starlink Group 10-37,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Oct 28 2025 11:15 UTC,Starlink Group 11-21,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Oct 26 2025 20:30 UTC,Starlink Group 10-21,Falcon 9 Block 5,StatusActive,52.0,Success
JAXA,"Tanegashima, Japan",Oct 26 2025 05:00 UTC,HTV-X1,H3-24W,StatusActive,90.0,Success
CASC,"Taiyuan, China",Oct 26 2025 03:30 UTC,Gaofen-14 02,Long March 6A,StatusActive,40.0,Success
SpaceX,"Vandenberg, USA",Oct 25 2025 09:15 UTC,Starlink Group 11-12,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Oct 24 2025 15:12 UTC,SpainSat NG-II,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Jiuquan, China",Oct 23 2025 03:00 UTC,TJSW-20,Long March 4C,StatusActive,32.0,Success
SpaceX,"Kennedy Space Center, USA",Oct 22 2025 04:45 UTC,Starlink Group 11-5,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Oct 19 2025 11:20 UTC,Starlink Group 11-19,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Oct 19 2025 08:30 UTC,Starlink Group 10-17,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Oct 19 2025 02:15 UTC,PRSC-HS1 / AIRSAT,Long March 2C,StatusActive,29.7,Success
CASC,"Yellow Sea, China",Oct 17 2025 05:40 UTC,G60 Polar Group 18,Jielong-3,StatusActive,25.0,Success
SpaceX,"Cape Canaveral, USA",Oct 16 2025 21:00 UTC,Starlink Group 10-52,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang, China",Oct 16 2025 12:00 UTC,SatNet Group 12,Long March 8A,StatusActive,45.0,Success
SpaceX,"Kennedy Space Center, USA",Oct 15 2025 15:45 UTC,SDA Tranche 1 Layer C,Falcon 9 Block 5,StatusActive,62.0,Success
Rocket Lab,"Mahia, New Zealand",Oct 14 2025 21:30 UTC,Owl New World,Electron,StatusActive,7.5,Success
Firefly,"Vandenberg, USA",Oct 14 2025 09:15 UTC,Leo-6 (KF-03),Firefly Alpha,StatusActive,15.0,Success
SpaceX,"Starbase, USA",Oct 13 2025 17:00 UTC,Starship Flight 11,Starship,StatusActive,200.0,Success
CASC,"Taiyuan, China",Oct 13 2025 03:30 UTC,Shiyan-31,Long March 6,StatusActive,35.0,Success
CASC,"Jiuquan, China",Oct 11 2025 04:00 UTC,Jilin-1 WB-02B-07,Long March 2D,StatusActive,29.7,Success
Blue Origin,"Van Horn, USA",Oct 08 2025 14:00 UTC,NS-36 (Suborbital),New Shepard,StatusActive,1.5,Success
SpaceX,"Vandenberg, USA",Oct 08 2025 09:12 UTC,Starlink Group 11-17,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Oct 07 2025 04:30 UTC,Starlink Group 10-59,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Oct 03 2025 19:15 UTC,Starlink Group 11-39,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Wallops, USA",Oct 01 2025 22:00 UTC,JUSTIN (HASTE),Electron,StatusActive,7.5,Success
CASC,"Jiuquan, China",Sep 29 2025 12:00 UTC,Shiyan 30 01-02,Long March 2D,StatusActive,29.7,Success
SpaceX,"Vandenberg, USA",Sep 29 2025 08:45 UTC,Starlink Group 11-20,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang, China",Sep 27 2025 14:15 UTC,SatNet Group 11,Long March 7A,StatusActive,65.0,Success
SpaceX,"Cape Canaveral, USA",Sep 26 2025 20:30 UTC,Starlink Group 17-11,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",Sep 26 2025 02:45 UTC,Fengyun-3H,Long March 4C,StatusActive,32.0,Success
Firefly,"Vandenberg, USA",Sep 25 2025 18:00 UTC,Leo-5 (KA-03),Firefly Alpha,StatusActive,15.0,Success
SpaceX,"Vandenberg, USA",Sep 25 2025 09:10 UTC,Starlink Group 10-15,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Sep 24 2025 15:45 UTC,IMAP (NASA Heliophysics),Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Taiyuan, China",Sep 24 2025 03:15 UTC,Geely Constellation 06,Long March 6A,StatusActive,40.0,Success
Rocket Lab,"Wallops, USA",Sep 23 2025 22:30 UTC,Jenna (HASTE),Electron,StatusActive,7.5,Success
SpaceX,"Vandenberg, USA",Sep 22 2025 11:45 UTC,NROL-48,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Cape Canaveral, USA",Sep 21 2025 21:00 UTC,Starlink Group 10-27,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Sep 19 2025 09:15 UTC,Starlink Group 17-12,Falcon 9 Block 5,StatusActive,52.0,Success
Blue Origin,"Van Horn, USA",Sep 18 2025 14:00 UTC,NS-35 (Suborbital),New Shepard,StatusActive,1.5,Success
SpaceX,"Cape Canaveral, USA",Sep 18 2025 04:30 UTC,Starlink Group 10-61,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",Sep 16 2025 02:00 UTC,WHJSW-7A (SatNet Demo),Long March 2C,StatusActive,29.7,Success
SpaceX,"Kennedy Space Center, USA",Sep 14 2025 20:15 UTC,CRS-2 NG-23 (Cygnus),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Vandenberg, USA",Sep 13 2025 11:30 UTC,Starlink Group 17-10,Falcon 9 Block 5,StatusActive,52.0,Success
VKS,"Plesetsk, Russia",Sep 13 2025 08:00 UTC,Kosmos 2595 (GLONASS-K1),Soyuz 2.1b,StatusActive,48.5,Success
SpaceX,"Kennedy Space Center, USA",Sep 12 2025 04:10 UTC,Nusantara Lima,Falcon 9 Block 5,StatusActive,62.0,Success
Roscosmos,"Baikonur, Kazakhstan",Sep 11 2025 19:30 UTC,Progress MS-32,Soyuz 2.1a,StatusActive,48.5,Success
SpaceX,"Cape Canaveral, USA",Sep 10 2025 15:00 UTC,SDA Tranche 1 Transport B,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Taiyuan, China",Sep 09 2025 03:45 UTC,Yaogan 45,Long March 6A,StatusActive,40.0,Success
CASC,"Yellow Sea, China",Sep 08 2025 06:20 UTC,Geely Constellation 05,Jielong-3,StatusActive,25.0,Success
SpaceX,"Vandenberg, USA",Sep 06 2025 09:12 UTC,Starlink Group 17-9,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",Sep 06 2025 04:00 UTC,Yaogan 40 Group 03,Long March 4C,StatusActive,32.0,Success
SpaceX,"Cape Canaveral, USA",Sep 05 2025 21:05 UTC,Starlink Group 10-57,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Sep 05 2025 02:15 UTC,Queqiaoxian,Long March 3B,StatusActive,50.0,Success
SpaceX,"Vandenberg, USA",Sep 03 2025 18:45 UTC,Starlink Group 10-22,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Sep 03 2025 11:30 UTC,Starlink Group 17-8,Falcon 9 Block 5,StatusActive,52.0,Success
ISA,"Palmachim, Israel",Sep 02 2025 21:00 UTC,Ofek-19,Shavit-2,StatusActive,25.0,Success
CASC,"Jiuquan, China",Sep 02 2025 05:30 UTC,Shiyan 29,Long March 2D,StatusActive,29.7,Success
SpaceX,"Vandenberg, USA",Aug 31 2025 08:00 UTC,Starlink Group 10-14,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Aug 30 2025 20:15 UTC,Starlink Group 17-7,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Taiyuan, China",Aug 28 2025 03:20 UTC,Qianfan Polar Group 11,Long March 6A,StatusActive,40.0,Success
SpaceX,"Kennedy Space Center, USA",Aug 27 2025 15:45 UTC,IM-3 Lunar Mission,Falcon Heavy,StatusActive,150.0,Success
Roscosmos,"Baikonur, Kazakhstan",Aug 25 2025 10:00 UTC,Progress MS-36,Soyuz 2.1a,StatusActive,48.5,Success
SpaceX,"Cape Canaveral, USA",Aug 23 2025 04:12 UTC,Starlink Group 10-45,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Aug 21 2025 11:30 UTC,Starlink Group 11-40,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Aug 18 2025 17:15 UTC,TJS-18,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"Cape Canaveral, USA",Aug 17 2025 02:45 UTC,Starlink Group 13-20,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Mahia, New Zealand",Aug 15 2025 08:30 UTC,"That's Not A Knife",Electron,StatusActive,7.5,Success
SpaceX,"Kennedy Space Center, USA",Aug 14 2025 21:00 UTC,Starlink Group 14-18,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Aug 12 2025 09:12 UTC,Starlink Group 11-38,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",Aug 11 2025 04:00 UTC,Yaogan 49,Long March 2D,StatusActive,29.7,Success
SpaceX,"Cape Canaveral, USA",Aug 09 2025 15:30 UTC,Starlink Group 10-56,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Aug 08 2025 11:20 UTC,Starlink Group 11-35,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Aug 06 2025 21:15 UTC,Starlink Group 13-18,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Taiyuan, China",Aug 04 2025 04:10 UTC,Yaogan 48,Long March 4B,StatusActive,32.0,Success
SpaceX,"Vandenberg, USA",Aug 02 2025 09:45 UTC,Starlink Group 11-32,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Jul 31 2025 23:03 UTC,Crew-11 (ISS),Falcon 9 Block 5,StatusActive,145.0,Success
ISRO,"Sriharikota, India",Jul 30 2025 12:10 UTC,NISAR (NASA-ISRO),GSLV-F16,StatusActive,150.0,Success
SpaceX,"Cape Canaveral, USA",Jul 28 2025 14:00 UTC,Starlink Group 10-40,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Jul 26 2025 08:20 UTC,Yaogan 47,Long March 2C,StatusActive,29.7,Success
Roscosmos,"Baikonur, Kazakhstan",Jul 24 2025 18:00 UTC,Ionosfera-M (x2),Soyuz 2.1b,StatusActive,48.5,Success
SpaceX,"Kennedy Space Center, USA",Jul 24 2025 04:30 UTC,Starlink Group 14-15,Falcon 9 Block 5,StatusActive,52.0,Success
ESA,"Kourou, French Guiana",Jul 22 2025 19:15 UTC,MetOp-SG A1,Ariane 64,StatusActive,115.0,Success
VKS,"Vostochny, Russia",Jul 21 2025 05:40 UTC,Ionosfera Science Cluster,Soyuz 2.1b,StatusActive,48.5,Success
SpaceX,"Cape Canaveral, USA",Jul 20 2025 21:05 UTC,Starlink Group 13-15,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Taiyuan, China",Jul 19 2025 03:00 UTC,Qianfan Polar Group 10,Long March 6A,StatusActive,40.0,Success
SpaceX,"Vandenberg, USA",Jul 18 2025 11:30 UTC,Starlink Group 11-30,Falcon 9 Block 5,StatusActive,52.0,Success
